date,action,symbol,shares,price,amount
2024-03-12,BUY,MWG,2095400,45.720001220703125,95945393.09369813
2024-03-12,BUY,VCB,1528200,62.689998626708984,95946560.18518868
2024-03-12,BUY,VNM,1564600,61.22999954223633,95944157.96970864
2024-03-13,SELL,BSR,8426000,11.609999656677246,97679118.32150173
2024-03-13,SELL,MWG,2095400,47.47999954223633,99340356.6542408
2024-03-13,SELL,GVR,2926000,31.549999237060547,92176824.8209877
2024-03-13,SELL,VCB,1528200,63.75,97276615.875
2024-03-13,SELL,VNM,1564600,61.93000030517578,96750334.95976181
2024-03-13,BUY,STB,1496600,30.850000381469727,46239365.736763954
2024-03-13,BUY,VHM,1075000,42.95000076293945,46240507.69639016
2024-03-13,BUY,SAB,919700,50.20000076293945,46238194.11272793
2024-03-13,BUY,PLX,1336400,34.54999923706055,46241877.908878334
2024-03-13,BUY,HDB,3235600,14.270000457763672,46241271.501361854
2024-03-14,SELL,HDB,3235600,14.170000076293945,45779679.56848641
2024-03-14,SELL,VIC,1239100,22.979999542236328,28431805.656635858
2024-03-14,BUY,BSR,5880500,11.670000076293945,68728373.60181952
2024-03-14,BUY,VNM,1112900,61.65999984741211,68724345.95093022
2024-03-15,SELL,TCB,883000,19.15999984741211,16892902.445466995
2024-03-15,SELL,BSR,5880500,11.670000076293945,68522497.29547358
2024-03-15,SELL,GAS,563900,70.56999969482422,39734731.19366951
2024-03-15,SELL,PLX,1336400,35.060001373291016,46783904.55651322
2024-03-15,BUY,FPT,1316100,83.75,110388710.0625
2024-03-15,BUY,GVR,3261100,33.79999923706055,110390515.27824612
2024-03-15,BUY,VIC,4965100,22.200000762939453,110390561.6237528
2024-03-15,BUY,VCB,1765800,62.41999816894531,110386564.61587372
2024-03-18,SELL_STOP,SAB,919700,47.7599983215332,43858983.15062962
2024-03-18,SELL,STB,1496600,30.25,45204241.775000006
2024-03-18,SELL,VHM,1075000,42.099998474121094,45189612.112140656
2024-03-18,SELL,VIC,4965100,23.049999237060547,114273882.88511144
2024-03-18,BUY,BSR,3259700,11.3100004196167,36922509.18037629
2024-03-18,BUY,VRE,1338100,27.549999237060547,36919950.96007939
2024-03-18,BUY,HDB,2677300,13.770000457763672,36921721.85890904
2024-03-18,BUY,ACB,1952700,18.8799991607666,36922274.82277079
2024-03-19,SELL,HDB,2677300,13.800000190734863,36891320.39988847
2024-03-19,SELL,BSR,3259700,11.430000305175781,37202484.43678933
2024-03-19,SELL,FPT,1316100,80.86000061035156,106260217.03307877
2024-03-19,SELL,GVR,3261100,31.799999237060547,103547423.04571019
2024-03-19,BUY,HPG,2072000,20.1299991607666,41771922.29850007
2024-03-19,BUY,CTG,1825300,22.850000381469727,41770667.854841135
2024-03-19,BUY,MWG,937200,44.5,41767958.1
2024-03-19,BUY,GAS,610300,68.33999633789062,41770461.61466218
2024-03-20,SELL,ACB,1952700,19.309999465942383,37650076.00320997
2024-03-20,SELL,MSN,354600,77.30000305175781,27369465.21053009
2024-03-20,SELL,GAS,610300,69.44999694824219,42321755.13780594
2024-03-20,SELL,VRE,1338100,26.350000381469727,35206047.10717898
2024-03-20,BUY,TCB,2962400,19.56999969482422,58061128.3465912
2024-03-20,BUY,PLX,1662500,34.869998931884766,58058330.28409482
2024-03-20,BUY,GVR,1809400,32.040000915527344,58060137.42304002
